filepath,label_idx,species,split,fold
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_298.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_127.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_590.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_367.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_67.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_429.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_28.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_537.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_363.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_214.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_264.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_239.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_591.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_563.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_211.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_417.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_326.png,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_53.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_37.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_80.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_477.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_77.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_20.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_404.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_342.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_22.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_162.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_102.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_441.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_124.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_412.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_58.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_407.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_235.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_396.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_83.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_462.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_410.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_480.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_541.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_463.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_118.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_331.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_515.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_520.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_166.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_201.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_76.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_312.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_538.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_221.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_68.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_583.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_228.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_240.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_433.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_548.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_39.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_153.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_378.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_398.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_466.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_325.png,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_274.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_549.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_474.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_575.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_65.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_394.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_34.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_524.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_535.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_143.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_138.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_197.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_85.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_532.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_229.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_81.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_26.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_416.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_372.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_507.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_82.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_204.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_285.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_19.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_222.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_521.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_486.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_282.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_142.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_551.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_191.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_101.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_11.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_40.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_528.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_17.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_207.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_479.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_305.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_0.jpg,0,Carduelis carduelis,test,-1
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_420.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_84.jpg,0,Carduelis carduelis,train,4
full_image_dataset/Carduelis_carduelis/Carduelis_carduelis_569.jpg,0,Carduelis carduelis,test,-1
