species,label_idx,filepath,group,fold
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_0_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_100_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_101_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_102_aug.jpg,Streptopelia decaocto,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_103_aug.jpg,Ciconia ciconia,1
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_104_aug.jpg,Delichon urbicum,4
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_105_aug.jpg,Emberiza calandra,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_106_aug.jpg,Ciconia ciconia,1
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_107_aug.jpg,Passer domesticus,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_108_aug.jpg,Columba livia,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_109_aug.jpg,Carduelis carduelis,0
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_10_aug.jpg,Turdus merula,4
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_110_aug.jpg,Columba livia,2
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_111_aug.jpg,Delichon urbicum,4
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_112_aug.jpg,Delichon urbicum,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_113_aug.jpg,Passer domesticus,3
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_114_aug.jpg,Turdus merula,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_115_aug.jpg,Turdus merula,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_116_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_117_aug.jpg,Streptopelia decaocto,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_118_aug.jpg,Sturnus unicolor,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_119_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_11_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_120_aug.jpg,Passer domesticus,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_121_aug.jpg,Carduelis carduelis,0
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_122_aug.jpg,Ciconia ciconia,1
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_123_aug.jpg,Turdus merula,4
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_124_aug.jpg,Emberiza calandra,3
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_125_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_126_aug.jpg,Passer domesticus,3
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_127_aug.jpg,Sturnus unicolor,2
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_128_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_129_aug.jpg,Carduelis carduelis,0
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_12_aug.jpg,Sturnus unicolor,2
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_130_aug.jpg,Serinus serinus,1
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_131_aug.jpg,Serinus serinus,1
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_132_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_133_aug.jpg,Carduelis carduelis,0
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_134_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_135_aug.jpg,Ciconia ciconia,1
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_136_aug.jpg,Delichon urbicum,4
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_137_aug.jpg,Carduelis carduelis,0
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_138_aug.jpg,Serinus serinus,1
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_139_aug.jpg,Emberiza calandra,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_13_aug.jpg,Columba livia,2
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_140_aug.jpg,Turdus merula,4
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_141_aug.jpg,Carduelis carduelis,0
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_142_aug.jpg,Passer domesticus,3
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_143_aug.jpg,Delichon urbicum,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_144_aug.jpg,Turdus merula,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_145_aug.jpg,Turdus merula,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_146_aug.jpg,Hirundo rustica,0
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_147_aug.jpg,Serinus serinus,1
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_148_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_149_aug.jpg,Carduelis carduelis,0
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_14_aug.jpg,Turdus merula,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_150_aug.jpg,Turdus merula,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_151_aug.jpg,Turdus merula,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_152_aug.jpg,Hirundo rustica,0
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_153_aug.jpg,Hirundo rustica,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_154_aug.jpg,Carduelis carduelis,0
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_155_aug.jpg,Hirundo rustica,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_156_aug.jpg,Carduelis carduelis,0
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_157_aug.jpg,Streptopelia decaocto,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_158_aug.jpg,Ciconia ciconia,1
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_159_aug.jpg,Serinus serinus,1
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_15_aug.jpg,Serinus serinus,1
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_160_aug.jpg,Ciconia ciconia,1
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_161_aug.jpg,Sturnus unicolor,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_162_aug.jpg,Sturnus unicolor,2
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_163_aug.jpg,Turdus merula,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_164_aug.jpg,Turdus merula,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_165_aug.jpg,Passer domesticus,3
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_166_aug.jpg,Hirundo rustica,0
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_167_aug.jpg,Streptopelia decaocto,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_168_aug.jpg,Sturnus unicolor,2
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_169_aug.jpg,Columba livia,2
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_16_aug.jpg,Columba livia,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_170_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_171_aug.jpg,Streptopelia decaocto,4
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_172_aug.jpg,Serinus serinus,1
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_173_aug.jpg,Delichon urbicum,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_174_aug.jpg,Sturnus unicolor,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_175_aug.jpg,Carduelis carduelis,0
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_176_aug.jpg,Delichon urbicum,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_177_aug.jpg,Turdus merula,4
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_178_aug.jpg,Delichon urbicum,4
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_179_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_17_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_180_aug.jpg,Passer domesticus,3
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_181_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_182_aug.jpg,Turdus merula,4
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_183_aug.jpg,Carduelis carduelis,0
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_184_aug.jpg,Hirundo rustica,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_185_aug.jpg,Carduelis carduelis,0
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_186_aug.jpg,Passer domesticus,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_187_aug.jpg,Columba livia,2
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_188_aug.jpg,Hirundo rustica,0
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_189_aug.jpg,Emberiza calandra,3
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_18_aug.jpg,Delichon urbicum,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_190_aug.jpg,Passer domesticus,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_191_aug.jpg,Carduelis carduelis,0
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_192_aug.jpg,Streptopelia decaocto,4
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_193_aug.jpg,Emberiza calandra,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_194_aug.jpg,Ciconia ciconia,1
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_195_aug.jpg,Hirundo rustica,0
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_196_aug.jpg,Turdus merula,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_197_aug.jpg,Passer domesticus,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_198_aug.jpg,Columba livia,2
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_199_aug.jpg,Passer domesticus,3
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_19_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_1_aug.jpg,Carduelis carduelis,0
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_200_aug.jpg,Passer domesticus,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_201_aug.jpg,Ciconia ciconia,1
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_202_aug.jpg,Delichon urbicum,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_203_aug.jpg,Turdus merula,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_204_aug.jpg,Passer domesticus,3
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_205_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_206_aug.jpg,Passer domesticus,3
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_207_aug.jpg,Sturnus unicolor,2
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_208_aug.jpg,Hirundo rustica,0
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_209_aug.jpg,Turdus merula,4
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_20_aug.jpg,Emberiza calandra,3
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_210_aug.jpg,Passer domesticus,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_211_aug.jpg,Columba livia,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_212_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_213_aug.jpg,Passer domesticus,3
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_214_aug.jpg,Turdus merula,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_215_aug.jpg,Hirundo rustica,0
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_216_aug.jpg,Ciconia ciconia,1
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_217_aug.jpg,Sturnus unicolor,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_218_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_219_aug.jpg,Carduelis carduelis,0
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_21_aug.jpg,Emberiza calandra,3
