config,mean_f1,std_f1,mean_acc,std_acc,f1_scores,acc_scores
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet18'}",0.6978707096267441,0.004766455219474713,0.6979900809188203,0.005197678870201002,"[0.702574115933583, 0.6913372460935949, 0.6997007668530546]","[0.7036021926389977, 0.6910728269381362, 0.6992952231793266]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7253221645689848,0.009173986978529298,0.7246149830331506,0.008821062515643855,"[0.7169791866646755, 0.7208890561807931, 0.7380982508614856]","[0.716523101018011, 0.7204385277995301, 0.7368833202819107]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet18'}",0.6902188050688642,0.006387001013730703,0.6896371704515792,0.005757438005772098,"[0.6865922890886057, 0.6991963466454935, 0.6848677794724936]","[0.6863743148003132, 0.6977290524667189, 0.6848081440877055]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7303276951991986,0.007742212623927152,0.7303576089793787,0.007320440439770368,"[0.7279840333051202, 0.7222370631279132, 0.7407619891645623]","[0.7274862960062647, 0.7231793265465936, 0.740407204385278]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet18'}",0.6951766300664898,0.004908024236731789,0.6945967110415036,0.0051150921279732205,"[0.7017745112570046, 0.6937442439733584, 0.6900111349691062]","[0.7008613938919342, 0.6945967110415036, 0.6883320281910729]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7353576740108814,0.006232045718576868,0.7349256068911512,0.00719842455397428,"[0.7430390319631205, 0.735259339990111, 0.7277746500794126]","[0.7439310884886453, 0.7345340642129992, 0.7263116679718089]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet18'}",0.6944994914584873,0.0024951933386446945,0.6938136256851997,0.0030496793123330613,"[0.69398538433663, 0.6977799131902259, 0.6917331768486059]","[0.6934220830070478, 0.6977290524667189, 0.6902897415818324]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7350108194423438,0.009821506113966502,0.7350561211172018,0.009517700158446663,"[0.7409389695660815, 0.7429249680683225, 0.7211685206926277]","[0.7411902897415819, 0.7423649177760376, 0.7216131558339859]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet18'}",0.6682343256162673,0.010143335109334196,0.6677107804750718,0.010091037212256713,"[0.6740189018430424, 0.6539738855370654, 0.6767101894686941]","[0.6738449490994518, 0.6534847298355521, 0.6758026624902115]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7059965044735982,0.0030976304534831526,0.7052988775776559,0.003418376625870232,"[0.7077120665777058, 0.7086295122492637, 0.7016479345938247]","[0.7075176194205168, 0.7079091620986687, 0.7004698512137822]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet18'}",0.6737169072410013,0.0028471140206736112,0.6733228921952493,0.0029008236453788375,"[0.6755423712023801, 0.6696961456008081, 0.6759122049198155]","[0.6738449490994518, 0.6695379796397808, 0.6765857478465153]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7040883416101433,0.006341553927578168,0.703863221091099,0.006396528715657967,"[0.6963349274795574, 0.7118684300703676, 0.7040616672805048]","[0.6961628817541112, 0.711824588880188, 0.7036021926389977]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet18'}",0.6707352562473465,0.0065974230051202235,0.6699295223179327,0.007033251675963179,"[0.6689087839834292, 0.6637246685066671, 0.6795723162519434]","[0.6699295223179327, 0.6613155833985904, 0.6785434612372748]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7004782434093233,0.00606902180407129,0.6991647089532759,0.00608537887072551,"[0.7021646769041374, 0.6923469202522845, 0.7069231330715481]","[0.6996867658574785, 0.6914643696162882, 0.706342991386061]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet18'}",0.6717617784495499,0.013299500006939802,0.671626207256591,0.01272496971290638,"[0.6645514942663283, 0.6904109858876613, 0.6603228551946604]","[0.6644479248238058, 0.6895066562255285, 0.6609240407204385]"
"{'learning_rate': 0.001, 'batch_size': 16, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7081146634070876,0.006504661273857013,0.7071260767423649,0.006124441768024058,"[0.7130574474140656, 0.6989244476875979, 0.7123620951195995]","[0.7122161315583398, 0.6985121378230227, 0.7106499608457322]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet18'}",0.7009662085361743,0.003439071077808218,0.7004698512137822,0.004229144282437903,"[0.7057215505243695, 0.6994721985340904, 0.6977048765500631]","[0.706342991386061, 0.6985121378230227, 0.6965544244322631]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7423327706286277,0.011139284016217063,0.7419733750978857,0.010684644185797978,"[0.7574234146199222, 0.7387027801051455, 0.7308721171608152]","[0.7564604541895067, 0.7384494909945184, 0.7310101801096319]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet18'}",0.7000456436236995,0.002005453044625407,0.6999477943095798,0.0017607331719175505,"[0.702551235220292, 0.6976420781114249, 0.6999436175393816]","[0.7024275646045419, 0.6985121378230227, 0.6989036805011746]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7355812397623159,0.004551580298850107,0.7354476637953536,0.004841356562514067,"[0.7292972220023081, 0.7375154964246645, 0.7399310008599749]","[0.7286609240407205, 0.7380579483163665, 0.7396241190289742]"
