config,mean_f1,std_f1,mean_acc,std_acc,f1_scores,acc_scores
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0, 'model_name': 'resnet18'}",0.6129977717190235,0.004746146033098072,0.611850691725398,0.004172374670620122,"[0.606855416912775, 0.6137253490438802, 0.6184125492004153]","[0.6064996084573219, 0.6123727486296007, 0.6166797180892717]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0, 'model_name': 'efficientnet'}",0.5583929143103125,0.02267896456492125,0.5584703732706865,0.022402112039838235,"[0.5555542215205036, 0.5321453216255275, 0.5874791997849064]","[0.5544244322631167, 0.533281127642913, 0.5877055599060298]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet18'}",0.6179696416235819,0.002433597973641994,0.6172017749934743,0.002483202504625493,"[0.6151027069142485, 0.6177541357597619, 0.6210520821967352]","[0.6147220046985121, 0.6162881754111198, 0.6205951448707909]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.560775889557562,0.0070106834908146886,0.5596450013051423,0.005558741696436119,"[0.5695626413503556, 0.5603598581535937, 0.5524051691687367]","[0.5673453406421299, 0.5571652310101801, 0.5544244322631167]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet18'}",0.5472610659756815,0.05285595648173317,0.5540328895849648,0.04576975925716518,"[0.4933554830315829, 0.5293666802902885, 0.6190610346051727]","[0.5097885669537979, 0.5352388410336727, 0.6170712607674237]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.5893276884682913,0.02546775009746659,0.5896632732967894,0.024806631263049553,"[0.6181121300160867, 0.5936838379202741, 0.5561870974685132]","[0.6166797180892717, 0.5955364134690682, 0.5567736883320282]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.001, 'dropout_rate': 0, 'model_name': 'resnet18'}",0.5892949167703162,0.005372693755443598,0.5910989297833463,0.005810448783490501,"[0.582881046588062, 0.5889740396146582, 0.5960296641082283]","[0.5853563038371182, 0.5888801879404855, 0.5990602975724354]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.001, 'dropout_rate': 0, 'model_name': 'efficientnet'}",0.35100053101875955,0.037942842788219605,0.3938919342208301,0.026878960456694623,"[0.3279261353655523, 0.3205833705829995, 0.4044920871077268]","[0.3735317149569303, 0.3762725137039937, 0.43187157400156617]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.001, 'dropout_rate': 0.2, 'model_name': 'resnet18'}",0.587839482680449,0.0072154423748453005,0.5886191594883843,0.006348413733758962,"[0.5802306160170985, 0.5857555568118391, 0.5975322752124096]","[0.5830070477682068, 0.5853563038371182, 0.5974941268598277]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.34947206355039356,0.03921727294907731,0.3754894283476899,0.035060017862997075,"[0.39680345033148356, 0.3508422766818379, 0.3007704636378592]","[0.4197337509788567, 0.3727486296006265, 0.3339859044635865]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.001, 'dropout_rate': 0.5, 'model_name': 'resnet18'}",0.5413444172217693,0.030717847544759598,0.548159749412686,0.028029278456358407,"[0.5844435380048488, 0.5150801375948155, 0.5245095760656436]","[0.586530931871574, 0.5203602192638997, 0.5375880971025842]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.31026774471231944,0.029688041382821932,0.3445575567736883,0.018837503056819343,"[0.34721220823985155, 0.27452126440572644, 0.3090697614913804]","[0.36961628817541115, 0.3241973375097886, 0.3398590446358653]"
"{'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0, 'model_name': 'resnet18'}",0.581001430924557,0.006104551004472305,0.5806577916992953,0.0057544786439698735,"[0.580891676037526, 0.5735803950561164, 0.5885322216800289]","[0.5806577916992952, 0.5736100234925607, 0.5877055599060298]"
