epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2468,2.30413,3.52496,2.29128,0.00403,0.55594,0.124,0.039,2.20671,3.40167,2.40731,8.335e-05,8.335e-05,8.335e-05
2,18.5527,2.06177,3.28197,2.08088,0.00614,0.82517,0.19326,0.08624,1.78193,3.19428,1.86799,0.000179739,0.000179739,0.000179739
3,20.7321,1.80038,2.68597,1.82029,0.00674,0.88986,0.58693,0.2554,1.68872,2.96088,1.65459,0.000272168,0.000272168,0.000272168
4,23.2225,1.75862,2.25922,1.81123,0.007,0.91259,0.70458,0.28396,1.61319,2.95434,1.68016,0.000360635,0.000360635,0.000360635
5,25.314,1.70213,2.13654,1.71941,0.00642,0.83217,0.64325,0.2744,1.65325,2.91863,1.768,0.000445142,0.000445142,0.000445142
6,27.4368,1.61042,1.93527,1.59814,0.14388,0.71329,0.6048,0.22846,1.78204,2.84996,1.89795,0.000525688,0.000525688,0.000525688
7,29.6434,1.6278,1.74514,1.56824,1,0.08705,0.46518,0.17278,1.92156,2.91462,2.18942,0.000602274,0.000602274,0.000602274
8,31.4347,1.57946,1.69918,1.57109,0.86579,0.13462,0.3937,0.13559,1.88333,2.92353,2.0621,0.000674898,0.000674898,0.000674898
9,33.3425,1.66723,1.71068,1.57384,0.88102,0.2314,0.58514,0.24817,1.85942,2.59873,1.8457,0.000743562,0.000743562,0.000743562
10,35.2679,1.61621,1.57182,1.57553,0.7889,0.38976,0.54814,0.24601,1.92435,2.56886,1.9389,0.000808265,0.000808265,0.000808265
11,37.1399,1.58331,1.6428,1.56417,0.81989,0.46352,0.56822,0.23816,1.93019,2.57915,2.00818,0.000869007,0.000869007,0.000869007
12,39.1131,1.53853,1.49386,1.46656,0.56323,0.5,0.50602,0.23914,1.75434,2.2905,1.85567,0.000925788,0.000925788,0.000925788
13,40.907,1.50363,1.48451,1.4548,0.52096,0.57343,0.55288,0.23204,1.80061,2.15,1.78575,0.000978609,0.000978609,0.000978609
14,42.8039,1.48435,1.44783,1.44557,0.6688,0.58392,0.63825,0.27118,1.82216,1.96087,1.84154,0.00102747,0.00102747,0.00102747
15,44.4345,1.54052,1.43954,1.52037,0.61279,0.52206,0.59674,0.26715,1.84691,1.96856,1.82291,0.00107237,0.00107237,0.00107237
16,46.1978,1.63498,1.54468,1.57726,0.71635,0.55552,0.6435,0.3039,1.82525,1.96902,1.7876,0.00111331,0.00111331,0.00111331
17,47.8868,1.54197,1.42085,1.50239,0.54991,0.59694,0.56756,0.25433,2.00168,2.05672,1.88746,0.00113889,0.00113889,0.00113889
18,49.5569,1.44707,1.35576,1.42134,0.63101,0.60448,0.61143,0.30791,1.88167,1.78234,1.81804,0.00110589,0.00110589,0.00110589
19,51.2004,1.44227,1.32388,1.43108,0.63661,0.6014,0.65917,0.30257,1.91519,1.69345,1.84715,0.00107288,0.00107288,0.00107288
20,52.9043,1.37044,1.2502,1.37259,0.78349,0.53396,0.71819,0.34094,1.91028,1.64625,1.95534,0.00103987,0.00103987,0.00103987
