params,avg_f1,std_f1,mean_acc,std_acc,f1_scores,acc_scores,memory_used_GB,time_taken
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0005, 'batch_size': 16, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0}",0.002608686950392761,0.00205664636655722,0.00039254170755642783,0.0007850834151128556,"[0.003917727710547297, 0.001958867620878456, 0.005853624877330717, 0, 0.0013132145432073333]","[0.001962708537782139, 0.0, 0.0, 0.0, 0.0]",1.520126976,1336.1840560436249
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0005, 'batch_size': 16, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0.2}",0.0007789738165516662,0.0015579476331033322,0.0,0.0,"[0, 0.003894869082758331, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.520126976,790.255158662796
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0005, 'batch_size': 16, 'weight_decay': 0, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0}",0.0011757039125760895,0.001567284061804535,0.0,0.0,"[0.003917727710547297, 0, 0, 0.00196079185233315, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.520126976,846.3232507705688
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0005, 'batch_size': 16, 'weight_decay': 0, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0.2}",0.0007835470483513824,0.000959645228962373,0.0,0.0,"[0.001958867620878456, 0, 0.001958867620878456, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.520126976,1310.50892162323
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0001, 'batch_size': 16, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0}",0.0014361329492609976,0.002039212511508958,0.0,0.0,"[0.001958867620878456, 0, 0, 0, 0.005221797125426532]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.520126976,816.1193022727966
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0001, 'batch_size': 16, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0.2}",0.002217156997130926,0.0015191035276111843,0.00019627085377821392,0.0003925417075564278,"[0.003917727710547297, 0.0019550417075564278, 0.003902416584887144, 0, 0.00131059898266376]","[0.0, 0.0, 0.0009813542688910696, 0.0, 0.0]",1.520126976,874.6397337913513
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0001, 'batch_size': 16, 'weight_decay': 0, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0}",0.001698793476686249,0.001522955811947778,0.00019627085377821392,0.0003925417075564278,"[0.003913901797225269, 0, 0.001958867620878456, 0, 0.00262119796532752]","[0.0, 0.0, 0.0009813542688910696, 0.0, 0.0]",1.520126976,961.0723593235016
"{'model_name': 'efficientnet_b0', 'learning_rate': 0.0001, 'batch_size': 16, 'weight_decay': 0, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0.2}",0.0033918417852672536,0.0016157247951213934,0.00039254170755642783,0.0007850834151128556,"[0.003910075913322028, 0.003910090799744652, 0.005868921028828002, 0.001956932085211295, 0.0013131890992302891]","[0.0, 0.0, 0.001962708537782139, 0.0, 0.0]",1.520126976,902.5563142299652
"{'model_name': 'efficientnet_V2', 'learning_rate': 0.0005, 'batch_size': 16, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0}",0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",2.772645376,1547.22252202034
"{'model_name': 'efficientnet_V2', 'learning_rate': 0.0005, 'batch_size': 16, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'scheduler': True, 'dropout_rate': 0.2}",0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",2.772645376,1547.5254201889038
