config,mean_f1,std_f1,mean_acc,std_acc,mean_auprc,std_auprc,mean_top3,std_top3
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7403206600845228,0.005267826232395175,0.7501630789302022,0.005825730870650004,0.8248622832848866,0.002635406077567642,0.9159817351598174,0.0013304682357710997
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7403461913946131,0.0033149736096661215,0.7500326157860404,0.00440880502249597,0.8251012710556068,0.0007156314715818156,0.9174168297455969,0.0019438570679388778
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7509056833729667,0.009184027247519393,0.7589041095890411,0.008065535037742292,0.8353474553790363,0.008359262100010607,0.9167645140247881,0.007803833752766162
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7496258697889696,0.0026116990377411473,0.7589041095890411,0.0038745577051317623,0.8295675507556842,0.0022258639829529315,0.9132420091324202,0.003563339930527754
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.6540794338002391,0.008492030414602178,0.6651011089367254,0.008961213182556785,0.7324037377426161,0.008971460186016496,0.8673189823874755,0.0046088771644242086
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.655710013253,0.0038225211415228878,0.6678408349641227,0.005273681130178122,0.7369955895853625,0.002277263785354652,0.8688845401174169,0.0038745577051317553
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.6543177348540573,0.00536667175143227,0.6662752772341815,0.008553050699587096,0.7371655316057474,0.008646571588203743,0.8737116764514025,0.005593203159876302
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.6482709160092657,0.006588116612371582,0.6607958251793868,0.0046346561430741,0.7339986043597105,0.00650536762198711,0.868754076973255,0.0017600440395605902
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.728623139614658,0.007179102012097418,0.738160469667319,0.007609480272103183,0.8098338859141913,0.0012808286302213258,0.9095890410958903,0.004961031530810565
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7188699886666848,0.00898438187958708,0.7283757338551858,0.00899912034493442,0.8017748441010055,0.010830289687782031,0.9055446836268753,0.010076958391299426
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7391390087083082,0.014885840969924104,0.7487279843444227,0.014050099279261766,0.8156158186537742,0.0071808628348000725,0.909849967384214,0.005096418782680877
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7346029496262886,0.010113535267730768,0.7428571428571429,0.010044814901458636,0.8152040983415726,0.016934700317588373,0.9162426614481408,0.004981574192312267
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.5294447477240428,0.015120525343213714,0.5549902152641879,0.013925985811864727,0.5981305171979603,0.008616662900672409,0.8079582517938682,0.009825529228317151
